series,model,simulation,year,forecast
incidence_age_standardized_rate,Drift,50,2030,123.56922095173114
incidence_age_standardized_rate,Drift,51,2024,191.90650762003983
incidence_age_standardized_rate,Drift,51,2025,182.96911619270026
incidence_age_standardized_rate,Drift,51,2026,174.03172476536068
incidence_age_standardized_rate,Drift,51,2027,165.0943333380211
incidence_age_standardized_rate,Drift,51,2028,156.15694191068152
incidence_age_standardized_rate,Drift,51,2029,147.21955048334195
incidence_age_standardized_rate,Drift,51,2030,138.28215905600237
incidence_age_standardized_rate,Drift,52,2024,174.9517309059676
incidence_age_standardized_rate,Drift,52,2025,166.48916210764258
incidence_age_standardized_rate,Drift,52,2026,158.02659330931758
incidence_age_standardized_rate,Drift,52,2027,149.56402451099257
incidence_age_standardized_rate,Drift,52,2028,141.10145571266756
incidence_age_standardized_rate,Drift,52,2029,132.63888691434255
incidence_age_standardized_rate,Drift,52,2030,124.17631811601753
incidence_age_standardized_rate,Drift,53,2024,197.7113165257132
incidence_age_standardized_rate,Drift,53,2025,189.97156618984027
incidence_age_standardized_rate,Drift,53,2026,182.23181585396736
incidence_age_standardized_rate,Drift,53,2027,174.49206551809442
incidence_age_standardized_rate,Drift,53,2028,166.75231518222148
incidence_age_standardized_rate,Drift,53,2029,159.01256484634857
incidence_age_standardized_rate,Drift,53,2030,151.27281451047565
incidence_age_standardized_rate,Drift,54,2024,197.3535449214233
incidence_age_standardized_rate,Drift,54,2025,188.58415879669403
incidence_age_standardized_rate,Drift,54,2026,179.81477267196473
incidence_age_standardized_rate,Drift,54,2027,171.04538654723547
incidence_age_standardized_rate,Drift,54,2028,162.27600042250617
incidence_age_standardized_rate,Drift,54,2029,153.50661429777688
incidence_age_standardized_rate,Drift,54,2030,144.7372281730476
incidence_age_standardized_rate,Drift,55,2024,197.31485596907217
incidence_age_standardized_rate,Drift,55,2025,189.42903793759163
incidence_age_standardized_rate,Drift,55,2026,181.54321990611112
incidence_age_standardized_rate,Drift,55,2027,173.65740187463058
incidence_age_standardized_rate,Drift,55,2028,165.77158384315007
incidence_age_standardized_rate,Drift,55,2029,157.88576581166953
incidence_age_standardized_rate,Drift,55,2030,149.99994778018902
incidence_age_standardized_rate,Drift,56,2024,176.1368940511626
incidence_age_standardized_rate,Drift,56,2025,166.07118278863766
incidence_age_standardized_rate,Drift,56,2026,156.00547152611273
incidence_age_standardized_rate,Drift,56,2027,145.9397602635878
incidence_age_standardized_rate,Drift,56,2028,135.87404900106284
incidence_age_standardized_rate,Drift,56,2029,125.80833773853792
incidence_age_standardized_rate,Drift,56,2030,115.74262647601297
incidence_age_standardized_rate,Drift,57,2024,186.09930463698933
incidence_age_standardized_rate,Drift,57,2025,177.28522262722015
incidence_age_standardized_rate,Drift,57,2026,168.471140617451
incidence_age_standardized_rate,Drift,57,2027,159.65705860768182
incidence_age_standardized_rate,Drift,57,2028,150.84297659791264
incidence_age_standardized_rate,Drift,57,2029,142.0288945881435
incidence_age_standardized_rate,Drift,57,2030,133.2148125783743
incidence_age_standardized_rate,Drift,58,2024,183.64781800870003
incidence_age_standardized_rate,Drift,58,2025,175.30024217863073
incidence_age_standardized_rate,Drift,58,2026,166.95266634856142
incidence_age_standardized_rate,Drift,58,2027,158.60509051849212
incidence_age_standardized_rate,Drift,58,2028,150.25751468842282
incidence_age_standardized_rate,Drift,58,2029,141.9099388583535
incidence_age_standardized_rate,Drift,58,2030,133.5623630282842
incidence_age_standardized_rate,Drift,59,2024,183.65154906944102
incidence_age_standardized_rate,Drift,59,2025,175.45426077533386
incidence_age_standardized_rate,Drift,59,2026,167.25697248122668
incidence_age_standardized_rate,Drift,59,2027,159.05968418711953
incidence_age_standardized_rate,Drift,59,2028,150.86239589301235
incidence_age_standardized_rate,Drift,59,2029,142.6651075989052
incidence_age_standardized_rate,Drift,59,2030,134.467819304798
incidence_age_standardized_rate,Drift,60,2024,183.9406078025921
incidence_age_standardized_rate,Drift,60,2025,174.7626523677302
incidence_age_standardized_rate,Drift,60,2026,165.58469693286827
incidence_age_standardized_rate,Drift,60,2027,156.40674149800634
incidence_age_standardized_rate,Drift,60,2028,147.2287860631444
incidence_age_standardized_rate,Drift,60,2029,138.05083062828248
incidence_age_standardized_rate,Drift,60,2030,128.87287519342058
incidence_age_standardized_rate,Drift,61,2024,174.52273061546111
incidence_age_standardized_rate,Drift,61,2025,164.9642312350746
incidence_age_standardized_rate,Drift,61,2026,155.4057318546881
incidence_age_standardized_rate,Drift,61,2027,145.84723247430162
incidence_age_standardized_rate,Drift,61,2028,136.28873309391514
incidence_age_standardized_rate,Drift,61,2029,126.73023371352863
incidence_age_standardized_rate,Drift,61,2030,117.17173433314214
incidence_age_standardized_rate,Drift,62,2024,176.2236950506533
incidence_age_standardized_rate,Drift,62,2025,167.02957572508865
incidence_age_standardized_rate,Drift,62,2026,157.83545639952402
incidence_age_standardized_rate,Drift,62,2027,148.64133707395936
incidence_age_standardized_rate,Drift,62,2028,139.4472177483947
incidence_age_standardized_rate,Drift,62,2029,130.25309842283008
incidence_age_standardized_rate,Drift,62,2030,121.05897909726542
incidence_age_standardized_rate,Drift,63,2024,170.17895612428035
