series,model,year,forecast,model_params
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2027,0.2194623834471923,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2028,0.22227441711606905,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2029,0.22508545369103494,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2030,0.22789540638211925,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2024,0.20694365654614177,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2025,0.19945646293020833,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2026,0.19926885114098086,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2027,0.19724061600377712,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2028,0.1922672336737579,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2029,0.18944643782991477,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Causal_TCN,2030,0.1834810778987536,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,Drift,2024,0.2070277100798725,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2025,0.205508852150475,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2026,0.20398999422107753,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2027,0.20247113629168004,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2028,0.20095227836228255,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2029,0.19943342043288503,linear_drift
mortality_to_incidence_age_standardized_ratio,Drift,2030,0.19791456250348755,linear_drift
mortality_to_incidence_age_standardized_ratio,ETS,2024,0.2104225117825833,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2025,0.2119232668365055,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2026,0.21312387087964324,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2027,0.21408435411415344,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2028,0.21485274070176158,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2029,0.2154674499718481,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,ETS,2030,0.21595921738791735,trend=add; damped=True; aic=-397.82
mortality_to_incidence_age_standardized_ratio,LSTM,2024,0.20812846932008705,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2025,0.20554247698998998,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2026,0.2028527523839533,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2027,0.20016773733553392,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2028,0.19764726952472575,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2029,0.19519161428471613,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,LSTM,2030,0.1926489378062203,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2024,0.2056324561808385,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2025,0.20341067232490853,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2026,0.20215797163379715,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2027,0.19990533119832501,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2028,0.199433091252077,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2029,0.196341882149655,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Multistep_LSTM,2030,0.19002986249231138,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_to_incidence_age_standardized_ratio,Naive,2024,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2025,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2026,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2027,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2028,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2029,0.20854656800927,last_observation
mortality_to_incidence_age_standardized_ratio,Naive,2030,0.20854656800927,last_observation
